55-pd-digital-design-logistics.pdf	https://utahinnovationoffice.org/wp-content/uploads/2025/01/Termination-Order-PD-Digital-Signed.pdf	PD Digital Design Logistics
56-premium-visa.pdf	https://utahinnovationoffice.org/wp-content/uploads/2024/07/Termination-Order-Premium-Visa-signed.pdf	Premium Visa
57-rocket-lawyer-rocket-legal-professional-services.pdf	https://utahinnovationoffice.org/wp-content/uploads/2024/12/Termination-Order-Rocket-Lawyer-signed.pdf	Rocket Lawyer/Rocket Legal Professional Services
58-rocky-mountain-justice.pdf	https://utahinnovationoffice.org/wp-content/uploads/2025/01/Termination-Order-Rocky-Mountain-Justice-Signed.pdf	Rocky Mountain Justice
59-savvi-technologies.pdf	https://utahinnovationoffice.org/wp-content/uploads/2025/01/Termination-Order-Savvi-Signed.pdf	Savvi Technologies
60-timpanogos-legal-center.pdf	https://utahinnovationoffice.org/wp-content/uploads/2025/07/Sandbox-Termination-Order-TLC.pdf	Timpanogos Legal Center
61-truinta.pdf	https://utahinnovationoffice.org/wp-content/uploads/2024/07/Termination-Order-Truinta-signed.pdf	Truinta
62-utah-legal-advocates.pdf	https://utahinnovationoffice.org/wp-content/uploads/2024/05/Termination-Order-Utah-Legal-Advocates_.pdf	Utah Legal Advocates
63-visa-finder-immigration.pdf	https://utahinnovationoffice.org/wp-content/uploads/2025/01/Termination-Order-Visa-Finder-Signed.pdf	Visa Finder Immigration
64-visaplace.pdf	https://utahinnovationoffice.org/wp-content/uploads/2025/01/Termination-Order-Visa-Place-Signed.pdf	VisaPlace
65-waltonparke.pdf	https://utahinnovationoffice.org/wp-content/uploads/2025/03/Termination-Order-WaltonParke.pdf	WaltonParke
66-waylit.pdf	https://utahinnovationoffice.org/wp-content/uploads/2024/07/Termination-Order-Waylit-signed.pdf	Waylit
